oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
641216100035134,zr,59798.34687,15.214003,0.01343056,0.08705419,21.151,0.081
641216100035134,zr,59800.41613,15.224437,0.013442212,0.0895169,21.151,0.081
641116100063310,zg,59802.32001,15.253453,0.014050059,-0.05154544,21.915,0.177
641216100035134,zr,59805.30307,15.241755,0.013461839,0.08436391,21.151,0.081
641316100106186,zi,59805.37655,15.779865,0.013361056,0.19855054,21.219,0.135
641116100063310,zg,59805.40589,15.277386,0.014086531,-0.05973902,21.915,0.177
641116100063310,zg,59807.39639,15.269131,0.014073887,-0.06298652,21.915,0.177
641216100035134,zr,59809.2746,15.306722,0.013538715,0.08391364,21.151,0.081
641116100063310,zg,59809.34261,15.288326,0.014103389,-0.05745415,21.915,0.177
641116100063310,zg,59811.29585,15.294678,0.014113231,-0.04424438,21.915,0.177
641216100035134,zr,59811.35482,15.337349,0.013576801,0.08667549,21.151,0.081
641216100035134,zr,59813.25959,15.318568,0.013553304,0.085287824,21.151,0.081
641116100063310,zg,59813.30259,15.29162,0.014108488,-0.048968486,21.915,0.177
641116100063310,zg,59815.26068,15.317657,0.014149173,-0.05297496,21.915,0.177
641216100035134,zr,59815.29048,15.346381,0.0135882655,0.08932544,21.151,0.081
641216100035134,zr,59817.23768,15.376023,0.013626651,0.0876743,21.151,0.081
641116100063310,zg,59817.30214,15.328705,0.014166642,-0.072254986,21.915,0.177
641216100035134,zr,59819.2508,15.379586,0.013631345,0.08617535,21.151,0.081
641116100063310,zg,59819.28416,15.333061,0.014173565,-0.05844322,21.915,0.177
641316100106186,zi,59819.31502,15.869006,0.013592179,0.19912086,21.219,0.135
641116100063310,zg,59821.17675,15.34485,0.014192398,-0.06651844,21.915,0.177
641216100035134,zr,59821.23771,15.392685,0.013648748,0.083699316,21.151,0.081
641316100106186,zi,59822.26644,15.931847,0.013771715,0.19808532,21.219,0.135
641216100035134,zr,59823.27713,15.390809,0.013646243,0.09126878,21.151,0.081
641116100063310,zg,59823.31672,15.338626,0.014182437,-0.06306891,21.915,0.177
641116100063310,zg,59825.30958,15.372581,0.01423727,-0.0672804,21.915,0.177
641216100035134,zr,59825.3399,15.424744,0.013692347,0.085143164,21.151,0.081
641116100063310,zg,59827.27813,15.376488,0.014243659,-0.06475053,21.915,0.177
641216100035134,zr,59829.17436,15.449958,0.0137276575,0.09021083,21.151,0.081
641116100063310,zg,59839.19423,15.433285,0.014338396,-0.06575187,21.915,0.177
641116100063310,zg,59839.28486,15.427935,0.01432932,-0.084022604,21.915,0.177
641116100063310,zg,59841.1938,15.44188,0.014353044,-0.063215345,21.915,0.177
641116100063310,zg,59841.27138,15.468921,0.014399682,-0.0747054,21.915,0.177
641216100035134,zr,59843.17301,15.586845,0.013936011,0.08074751,21.151,0.081
641116100063310,zg,59843.24279,15.470341,0.014402156,-0.074858256,21.915,0.177
641116100063310,zg,59845.21573,15.449601,0.014366275,-0.06345955,21.915,0.177
641216100035134,zr,59847.17689,15.616602,0.013985246,0.089133486,21.151,0.081
641116100063310,zg,59847.29054,15.473408,0.014407502,-0.056273583,21.915,0.177
641216100035134,zr,59849.15157,15.630812,0.014009284,0.08637858,21.151,0.081
641116100063310,zg,59849.21882,15.478352,0.014416149,-0.070271276,21.915,0.177
641316100106186,zi,59850.20453,16.16904,0.014588424,0.20353618,21.219,0.135
641216100035134,zr,59851.15833,15.659329,0.014058571,0.086346395,21.151,0.081
641116100063310,zg,59851.20892,15.482022,0.014422584,-0.06195826,21.915,0.177
641316100106186,zi,59852.22213,16.171638,0.014598698,0.19568238,21.219,0.135
641216100035134,zr,59853.24729,15.673737,0.01408401,0.092199504,21.151,0.081
641116100063310,zg,59853.28141,15.492403,0.014440875,-0.05829354,21.915,0.177
